Date,TemperatureMin,TemperatureMax,TemperatureMoyenne,Precipitations,HygrometrieMin,HygrometrieMax,HygrometrieMoyenne
2000-10-01,12.6000003814697,17.5,15.0500001907349,4,71,98,84.5
2000-10-02,9.39999961853027,13.8000001907349,11.6000003814697,1.79999995231628,81,99,90
2000-10-03,8.39999961853027,16.7000007629395,12.5500001907349,0,63,99,81
2000-10-04,7.5,20,13.75,0,66,99,82.5
2000-10-05,12.3999996185303,18.2999992370605,15.3500003814697,0,62,97,79.5
2000-10-06,11.1000003814697,16.8999996185303,14,0,60,87,73.5
2000-10-07,3.70000004768372,15.8000001907349,9.75,0,45,93,69
2000-10-08,4.09999990463257,15.8000001907349,9.94999980926514,1,50,91,70.5
2000-10-09,8.5,18.3999996185303,13.4499998092651,2,64,96,80
2000-10-10,10.3999996185303,14.8000001907349,12.6000003814697,17.8999996185303,73,94,83.5
2000-10-11,6.19999980926514,14.8000001907349,10.5,16,71,96,83.5
2000-10-12,8.69999980926514,13.6000003814697,11.1499996185303,14.1000003814697,91,97,94
2000-10-13,10,12.1999998092651,11.1000003814697,24,94,96,95
2000-10-14,10.3999996185303,15.8999996185303,13.1499996185303,5.80000019073486,79,95,87
2000-10-15,11.8000001907349,13.8000001907349,12.8000001907349,17.6000003814697,94,96,95
2000-10-16,7.69999980926514,18.6000003814697,13.1499996185303,0,66,97,81.5
2000-10-17,11.1999998092651,16.5,13.8500003814697,0.800000011920929,72,95,83.5
2000-10-18,7.90000009536743,20,13.9499998092651,0.200000002980232,51,94,72.5
2000-10-19,5,18.2999992370605,11.6499996185303,0,62,96,79
2000-10-20,5.40000009536743,18,11.6999998092651,0,69,95,82
2000-10-21,5.80000019073486,20,12.8999996185303,0,56,94,75
2000-10-22,4.59999990463257,19.8999996185303,12.25,0,50,95,72.5
2000-10-23,4.40000009536743,19.5,11.9499998092651,0,58,95,76.5
2000-10-24,9.19999980926514,22.1000003814697,15.6499996185303,0.200000002980232,56,93,74.5
2000-10-25,6.40000009536743,21.1000003814697,13.75,0,54,95,74.5
2000-10-26,6.40000009536743,13.8999996185303,10.1499996185303,1.39999997615814,86,94,90
2000-10-27,8.39999961853027,18.1000003814697,13.25,0.200000002980232,62,96,79
2000-10-28,3.90000009536743,19.5,11.6999998092651,0,58,95,76.5
2000-10-29,5.30000019073486,12,8.64999961853027,2,87,94,90.5
2000-10-30,8.19999980926514,20.1000003814697,14.1499996185303,0,46,95,70.5
2000-10-31,12,11.8999996185303,11.9499998092651,20.7000007629395,42,90,66
2000-11-01,5.40000009536743,15.5,10.4499998092651,0,57,93,75
2000-11-02,3.20000004768372,14,8.60000038146973,4.80000019073486,52,91,71.5
2000-11-03,8.39999961853027,9.60000038146973,9,17.1000003814697,80,91,85.5
2000-11-04,4.90000009536743,13.1999998092651,9.05000019073486,2,68,90,79
2000-11-05,4.19999980926514,14,9.10000038146973,0,51,91,71
2000-11-06,5.30000019073486,12,8.64999961853027,14.6999998092651,42,89,65.5
2000-11-07,7.30000019073486,14.1000003814697,10.6999998092651,0.200000002980232,45,72,58.5
2000-11-08,6.59999990463257,13.8999996185303,10.25,0.800000011920929,47,80,63.5
2000-11-09,5.90000009536743,11,8.44999980926514,1.70000004768372,70,91,80.5
2000-11-10,4,12.6000003814697,8.30000019073486,0,55,93,74
2000-11-11,-1,12.1000003814697,5.55000019073486,0,52,93,72.5
2000-11-12,3.29999995231628,18.7000007629395,11,0,45,77,61
2000-11-13,18.1000003814697,22.1000003814697,20.1000003814697,6.90000009536743,38,66,52
2000-11-14,7.80000019073486,7.80000019073486,7.80000019073486,29.6000003814697,86,91,88.5
2000-11-15,0.800000011920929,8.39999961853027,4.59999990463257,0,78,91,84.5
2000-11-16,-0.200000002980232,8.89999961853027,4.34999990463257,0,79,92,85.5
2000-11-17,5.30000019073486,6.5,5.90000009536743,11.8999996185303,80,88,84
2000-11-18,3,9.10000038146973,6.05000019073486,0,57,87,72
2000-11-19,-2.90000009536743,6.80000019073486,1.95000004768372,7,71,93,82
2000-11-20,4,8,6,3.20000004768372,81,92,86.5
2000-11-21,4.30000019073486,12.3000001907349,8.30000019073486,2,61,88,74.5
2000-11-22,5.30000019073486,11,8.14999961853027,1,78,92,85
2000-11-23,8,15.6999998092651,11.8500003814697,17.2000007629395,67,83,75
2000-11-24,5.09999990463257,8.69999980926514,6.90000009536743,7,80,91,85.5
2000-11-25,4.59999990463257,11,7.80000019073486,4.90000009536743,61,91,76
2000-11-26,3.59999990463257,11.6999998092651,7.65000009536743,5.19999980926514,64,93,78.5
2000-11-27,2.79999995231628,8.19999980926514,5.5,0.400000005960464,74,93,83.5
2000-11-28,6.19999980926514,13.5,9.85000038146973,0,74,92,83
2000-11-29,3.29999995231628,9.69999980926514,6.5,0,73,94,83.5
2000-11-30,5.19999980926514,15.5,10.3500003814697,0,65,93,79
2000-12-01,0.899999976158142,17.3999996185303,9.14999961853027,0,51,94,72.5
2000-12-02,9,13.8999996185303,11.4499998092651,4.90000009536743,69,84,76.5
2000-12-03,7.90000009536743,11.1000003814697,9.5,3,85,93,89
2000-12-04,0.200000002980232,12.8999996185303,6.55000019073486,0,69,93,81
2000-12-05,0.100000001490116,12.6999998092651,6.40000009536743,0,68,94,81
2000-12-06,4.69999980926514,12.1000003814697,8.39999961853027,0.400000005960464,77,87,82
2000-12-07,5.80000019073486,17.7999992370605,11.8000001907349,0.200000002980232,36,87,61.5
2000-12-08,17.6000003814697,19.7999992370605,18.7000007629395,0,29,82,55.5
2000-12-09,7.40000009536743,13,10.1999998092651,9.60000038146973,70,93,81.5
2000-12-10,1,11.3999996185303,6.19999980926514,0.200000002980232,79,96,87.5
2000-12-11,-0.5,13.6000003814697,6.55000019073486,0,79,96,87.5
2000-12-12,0.699999988079071,13.3999996185303,7.05000019073486,0,78,96,87
2000-12-13,1.20000004768372,10.3999996185303,5.80000019073486,0,89,96,92.5
2000-12-14,-0.100000001490116,6.09999990463257,3,1,87,96,91.5
2000-12-15,4.69999980926514,8.30000019073486,6.5,3,84,94,89
2000-12-16,2.70000004768372,7.80000019073486,5.25,0.200000002980232,75,92,83.5
2000-12-17,-0.800000011920929,6.59999990463257,2.90000009536743,0.200000002980232,71,94,82.5
2000-12-18,-2.59999990463257,9.19999980926514,3.29999995231628,0,53,95,74
2000-12-19,0.5,13.3999996185303,6.94999980926514,0,54,92,73
2000-12-20,-2.59999990463257,11,4.19999980926514,0,67,95,81
2000-12-21,-2,8,3,0,73,96,84.5
2000-12-22,-3.5,7.19999980926514,1.85000002384186,0,78,95,86.5
2000-12-23,-5.09999990463257,5.30000019073486,0.100000001490116,0,91,95,93
2000-12-24,-3.79999995231628,3.40000009536743,-0.200000002980232,1,71,93,82
2000-12-25,2.20000004768372,5.09999990463257,3.65000009536743,7,90,96,93
2000-12-26,-1.10000002384186,5.80000019073486,2.34999990463257,3,95,98,96.5
2000-12-27,-1.70000004768372,10.1999998092651,4.25,0,97,99,98
2000-12-28,1,7.69999980926514,4.34999990463257,6,92,99,95.5
2000-12-29,-0.699999988079071,8.10000038146973,3.70000004768372,0,67,98,82.5
2000-12-30,-1.60000002384186,5.09999990463257,1.75,0.200000002980232,63,93,78
2000-12-31,-1.39999997615814,5.19999980926514,1.89999997615814,0,50,84,67
2001-01-01,-4.30000019073486,8.60000038146973,2.15000009536743,0,61,90,75.5
2001-01-02,6.5,14.6999998092651,10.6000003814697,16.7999992370605,55,95,75
2001-01-03,3.59999990463257,11.3000001907349,7.44999980926514,0,86,98,92
2001-01-04,-0.400000005960464,8.80000019073486,4.19999980926514,7,82,96,89
2001-01-05,-0.699999988079071,9.60000038146973,4.44999980926514,0.600000023841858,80,98,89
2001-01-06,7.80000019073486,8.60000038146973,8.19999980926514,43.5,83,97,90
2001-01-07,0.699999988079071,4.30000019073486,2.5,7.69999980926514,94,96,95
2001-01-08,2.29999995231628,6.40000009536743,4.34999990463257,3.59999990463257,90,98,94
