Date,TemperatureMin,TemperatureMax,TemperatureMoyenne,Precipitations,HygrometrieMin,HygrometrieMax,HygrometrieMoyenne
2000-10-01,9.10000038146973,19.1000003814697,14.1000003814697,0.200000002980232,54,100,77
2000-10-02,11.1000003814697,15.8999996185303,13.5,3,80,97,88.5
2000-10-03,8.19999980926514,17.5,12.8500003814697,0,59,96,77.5
2000-10-04,11.6999998092651,16.5,14.1000003814697,0,73,93,83
2000-10-05,12.1999998092651,17.1000003814697,14.6499996185303,0,64,91,77.5
2000-10-06,6.69999980926514,14.6000003814697,10.6499996185303,0.600000023841858,56,95,75.5
2000-10-07,6,11.1000003814697,8.55000019073486,1.39999997615814,84,98,91
2000-10-08,8.5,15.5,12,7.30000019073486,72,100,86
2000-10-09,6.59999990463257,13.8000001907349,10.1999998092651,9,68,97,82.5
2000-10-10,8.10000038146973,11.1999998092651,9.64999961853027,13.8999996185303,82,98,90
2000-10-11,8.5,13.8000001907349,11.1499996185303,5,58,96,77
2000-10-12,8.69999980926514,13.8999996185303,11.3000001907349,0,74,90,82
2000-10-13,8.10000038146973,12.6999998092651,10.3999996185303,0,80,98,89
2000-10-14,4.19999980926514,10.8999996185303,7.55000019073486,0,99,100,99.5
2000-10-15,8.10000038146973,13.1000003814697,10.6000003814697,0,89,100,94.5
2000-10-16,10.8000001907349,11.8999996185303,11.3500003814697,28.5,98,100,99
2000-10-17,5.69999980926514,15.5,10.6000003814697,0.200000002980232,51,99,75
2000-10-18,9.10000038146973,12.3999996185303,10.75,8,87,99,93
2000-10-19,11.5,16.3999996185303,13.9499998092651,1,56,99,77.5
2000-10-20,8.60000038146973,14.1999998092651,11.3999996185303,8,89,99,94
2000-10-21,13.1999998092651,18.2000007629395,15.6999998092651,0,78,96,87
2000-10-22,10.8999996185303,19.7000007629395,15.3000001907349,0,70,98,84
2000-10-23,11.8999996185303,18,14.9499998092651,0.200000002980232,81,95,88
2000-10-24,10.5,13.6000003814697,12.0500001907349,0,79,95,87
2000-10-25,10.1000003814697,15.1000003814697,12.6000003814697,3,81,97,89
