note,velocity,time_symb,pitch,hand,time_wav
74,86,2.0,D5,R,1.0
38,77,2.0,D2,L,1.0
71,71,2.5,B4,R,1.25
38,0,2.5,D2,L,1.25
74,0,2.5,D5,R,1.25
37,64,2.5,C#2,L,1.25
34,64,2.5,A#1,L,1.25
73,69,2.5,C#5,R,1.25
33,77,2.6666666666666665,A1,L,1.3333333333333333
69,76,2.6666666666666665,A4,R,1.3333333333333333
35,64,2.6666666666666665,B1,L,1.3333333333333333
34,0,2.6666666666666665,A#1,L,1.3333333333333333
37,0,2.6666666666666665,C#2,L,1.3333333333333333
73,0,2.6666666666666665,C#5,R,1.3333333333333333
71,0,2.6666666666666665,B4,R,1.3333333333333333
35,0,2.833333333333333,B1,L,1.4166666666666665
33,0,2.833333333333333,A1,L,1.4166666666666665
69,0,2.833333333333333,A4,R,1.4166666666666665
43,74,3.0,G2,L,1.5
79,76,3.0625,G5,R,1.53125
79,0,3.25,G5,R,1.625
42,79,3.375,F#2,L,1.6875
43,0,3.375,G2,L,1.6875
78,77,3.375,F#5,R,1.6875
78,0,3.5,F#5,R,1.75
42,0,3.5,F#2,L,1.75
40,60,3.75,E2,L,1.875
76,74,3.75,E5,R,1.875
40,0,4.0,E2,L,2.0
38,65,4.0,D2,L,2.0
76,0,4.0,E5,R,2.0
74,80,4.0,D5,R,2.0
38,0,4.375,D2,L,2.1875
47,69,4.4375,B2,L,2.21875
84,59,4.5,C6,R,2.25
83,58,4.5,B5,R,2.25
47,0,4.5,B2,L,2.25
74,0,4.5,D5,R,2.25
47,69,4.5,B2,L,2.25
47,0,4.75,B2,L,2.375
45,72,4.75,A2,L,2.375
84,0,4.75,C6,R,2.375
81,80,4.75,A5,R,2.375
83,0,4.75,B5,R,2.375
45,0,5.0,A2,L,2.5
81,0,5.0,A5,R,2.5
43,70,5.125,G2,L,2.5625
79,75,5.125,G5,R,2.5625
42,79,5.375,F#2,L,2.6875
43,0,5.375,G2,L,2.6875
42,0,5.5,F#2,L,2.75
79,0,5.5,G5,R,2.75
78,78,5.5,F#5,R,2.75
86,77,5.75,D6,R,2.875
78,0,5.75,F#5,R,2.875
50,83,5.75,D3,L,2.875
50,0,6.0,D3,L,3.0
86,0,6.0,D6,R,3.0
49,75,6.125,C#3,L,3.0625
85,82,6.125,C#6,R,3.0625
49,0,6.375,C#3,L,3.1875
85,0,6.375,C#6,R,3.1875
47,76,6.375,B2,L,3.1875
83,80,6.40625,B5,R,3.203125
